city,meal_at_an_inexpensive_restaurant,cappuccino_regular_size,basic_utilities_for_85_m2apartment_electricity_heating_cooling_water_garbage,broadband_internet_unlimited_data_60_mbps_or_higher,1_bedroom_apartment_in_city_centre,price_per_square_meter_to_buy_apartment_outside_of_centre,average_monthly_net_salary_after_tax,annual_mortgage_interest_rate_20_year_fixed_in_,market_basket_index,transportation_cost_index,sports_leisure_index,childcare_cost_index,predicted_salary_lr,predicted_salary_rf,city_cluster,SalaryToRent,SalaryToMarket
Kollam,100.0,110.0,2941.85,501.0,7833.33,43055.64,50000.0,9.13,814.61,1059.57,2670.83,14500.0,29375.62530442568,43212.01044081045,2,6.38298143956657,61.37906482856827
Kadapa-India,160.0,162.66,3880.8,720.64,10000.0,47500.0,35000.0,9.75,850.72,1136.5,1450.0,5333.333333333334,35378.06867700581,34262.779995486264,2,3.5,41.14162121497085
Bilaspur-India,200.0,130.0,1425.0,546.0,15000.0,47500.0,38333.33,7.97,929.03,1136.5,2290.625,16166.67,37111.203890647186,37201.96441107957,1,2.5555553333333334,41.26167077489425
Shahjahanpur-India,300.0,150.0,4000.0,787.86,7000.0,30000.0,70000.0,8.0,828.72,1004.51,4125.0,19444.444166666668,47906.88719991721,54966.031820503194,1,10.0,84.46761270392895
Bijapur-India,250.0,197.27,4017.8,750.0,10400.0,47500.0,16000.0,9.06,885.28,1136.5,1300.0,30513.8525,49037.82535643313,29874.530321593033,2,1.5384615384615385,18.073377914332188
Shivamogga-India,250.0,117.5,2000.0,750.0,15000.0,47500.0,40000.0,9.12,885.45,1136.5,1136.67,24277.78083333333,45549.9239028851,38925.407638457335,2,2.6666666666666665,45.17476989101586
Chandrapur-India,250.0,120.0,5250.0,500.0,10400.0,47500.0,45000.0,8.5,801.17,1136.5,2329.17,18583.333333333336,33247.91347776218,42690.77441175468,2,4.326923076923077,56.16785451277507
Junagadh-India,175.0,141.67,4924.86,753.94,10000.0,35000.0,20000.0,8.9,938.49,1410.0,2100.0,15067.1025,39272.508444103696,26340.15869320005,2,2.0,21.31082909780605
Thrissur,120.0,124.0,5062.5,659.8,11666.67,165625.06,32400.0,11.83,1036.43,654.67,2362.5,14980.555833333334,36151.59424899947,35007.54055968066,1,2.777142063673696,31.261156083864805
Alwar-India,175.0,120.0,5333.33,400.0,4500.0,40000.0,36666.67,8.33,794.5799999999998,1136.5,2290.625,7000.0,22649.53980747234,33783.987510823405,2,8.148148888888889,46.14597649072467
Bardhaman%2CWest-Bengal-India,100.0,200.0,3451.895,640.0,10400.0,47500.0,36153.575,8.91,929.03,1136.5,2290.625,12916.666666666668,36975.45444292233,37313.31477836547,2,3.476305288461538,38.91540100965523
Kakinada-India,100.0,50.0,3097.32,500.0,6750.0,47500.0,50000.0,9.0,929.03,1570.45,1900.0,12458.336666666666,25483.807443077505,39817.82192328891,2,7.407407407407407,53.819575255912085
Nizamabad-Bodhan-India,250.0,197.27,4017.8,780.7,7500.0,40000.0,30000.0,9.06,911.72,1136.5,2320.0,13058.823333333334,44391.440371843375,33972.24270859845,2,4.0,32.90483920501909
Tumkur-India,120.0,135.33,2941.85,500.0,10500.0,46300.0,36153.575,9.83,969.72,1136.5,2038.0,17462.96,31684.50302391992,35132.86699633625,2,3.4431976190476186,37.28248875964196
Khammam-India,125.0,73.33,4017.8,780.7,7000.0,20000.0,23333.33,9.06,983.1999999999999,1844.44,1650.0,8249.995833333332,33474.49349394057,31446.496468341113,2,3.3333328571428575,23.732028071602933
Bihar-Sharif-India,200.0,152.5,3451.895,640.0,10400.0,47500.0,36153.575,8.91,929.03,1136.5,2290.625,16166.67,38617.69126829169,34492.72041339607,2,3.476305288461538,38.91540100965523
Panipat-India,275.0,180.0,2000.0,474.5,11500.0,85000.0,23000.0,8.0,802.8099999999998,1387.79,2900.0,23750.0,43066.10475213309,30106.48040383322,1,2.0,28.64936909106763
Darbhanga-India,150.0,119.0,1500.0,640.0,4500.0,47500.0,15000.0,9.46,821.43,1136.5,2290.625,12500.0,35614.77634189523,27052.107176077174,2,3.3333333333333335,18.260837807238598
Aizawl-India,200.0,120.0,1000.0,450.0,9666.67,47500.0,30000.0,8.91,1372.5,1136.5,2290.625,16166.67,32471.20238740527,31484.32674760504,1,3.10344720570786,21.85792349726776
Dewas-India,190.0,198.33,1200.0,699.4,4500.0,21527.82,46304.38,9.0,874.0100000000001,2187.5,2085.0,23222.2225,47310.54516310778,45454.42091767379,2,10.289862222222222,52.97923364721227
Karnal-India,175.0,200.0,3000.0,500.0,4000.0,30000.0,42500.0,8.88,1078.5500000000002,3356.0,2250.0,57800.24333333333,53342.35534759338,41174.118531918335,1,10.625,39.404756385888454
